date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/15,2330,美商高盛,1480,4652,794,3858,9.85,1,buy
1/15,2330,美林,1440,1531,7650,-6119,15.63,1,sell
1/15,2330,凱基-台北,9268,1964,673,1291,3.3,2,buy
1/15,2330,大和國泰,8890,1490,3743,-2253,5.75,2,sell
1/15,2330,永豐金證券,0039004100300030,1449,178,1271,3.25,3,buy
1/15,2330,法銀巴黎,8900,258,2304,-2046,5.22,3,sell
1/15,2330,台灣摩根士丹利,1470,1870,1103,767,1.96,4,buy
1/15,2330,新加坡商瑞銀,1650,289,2154,-1865,4.76,4,sell
1/15,2330,兆豐證券,7000,661,3,658,1.68,5,buy
1/15,2330,台新證券,8150,334,1849,-1515,3.87,5,sell
1/15,2330,中國信託,6160,721,131,590,1.51,6,buy
1/15,2330,香港上海匯豐,8960,106,1448,-1342,3.43,6,sell
1/15,2330,國泰證券,8880,1064,487,577,1.47,7,buy
1/15,2330,永豐金-匯立,0039004100380031,110,694,-584,1.49,7,sell
1/15,2330,花旗環球,1590,956,527,429,1.1,8,buy
1/15,2330,港商野村,1560,85,593,-508,1.3,8,sell
1/15,2330,玉山證券,8840,371,29,342,0.87,9,buy
1/15,2330,元富,5920,86,450,-364,0.93,9,sell
1/15,2330,國泰-敦南,8888,465,149,316,0.81,10,buy
1/15,2330,富邦證券,9600,850,1201,-351,0.9,10,sell
1/15,2330,摩根大通,8440,2252,2007,245,0.63,11,buy
1/15,2330,富邦-南京,0039003600310043,27,307,-280,0.72,11,sell
1/15,2330,宏遠證券,1260,245,12,233,0.6,12,buy
1/15,2330,元大證券,9800,1675,1836,-161,0.41,12,sell
1/15,2330,凱基,9200,636,426,210,0.54,13,buy
1/15,2330,永豐金-台南,0039004100390068,19,123,-104,0.27,13,sell
1/15,2330,兆豐-大同,0037003000300053,194,4,190,0.49,14,buy
1/15,2330,港商麥格理,1360,278,377,-99,0.25,14,sell
1/15,2330,華南永昌,9300,195,22,173,0.44,15,buy
1/15,2330,群益金鼎-古亭,0039003100380043,10,76,-66,0.17,15,sell
1/15,2317,香港上海匯豐,8960,1444,0,1444,4.12,1,buy
1/15,2317,美商高盛,1480,2012,5181,-3169,9.04,1,sell
1/15,2317,永豐金-匯立,0039004100380031,1270,24,1246,3.56,2,buy
1/15,2317,新加坡商瑞銀,1650,1003,2391,-1388,3.96,2,sell
1/15,2317,花旗環球,1590,1088,37,1051,3.0,3,buy
1/15,2317,兆豐證券,7000,21,1114,-1093,3.12,3,sell
1/15,2317,摩根大通,8440,1648,912,736,2.1,4,buy
1/15,2317,美林,1440,1158,2056,-898,2.56,4,sell
1/15,2317,永豐金證券,0039004100300030,1212,558,654,1.87,5,buy
1/15,2317,富邦證券,9600,78,935,-857,2.45,5,sell
1/15,2317,元大證券,9800,3780,3243,537,1.53,6,buy
1/15,2317,台灣摩根士丹利,1470,876,1725,-849,2.42,6,sell
1/15,2317,台新證券,8150,564,175,389,1.11,7,buy
1/15,2317,(牛牛牛)亞證券,6010,1,424,-423,1.21,7,sell
1/15,2317,統一-新竹,5857,280,9,271,0.77,8,buy
1/15,2317,華南永昌-楠梓,9332,21,430,-409,1.17,8,sell
1/15,2317,法銀巴黎,8900,156,0,156,0.45,9,buy
1/15,2317,凱基,9200,650,1053,-403,1.15,9,sell
1/15,2317,元大-大同,0039003800390047,135,22,113,0.32,10,buy
1/15,2317,富邦-員林,9672,13,308,-295,0.84,10,sell
1/15,2317,港商麥格理,1360,185,80,105,0.3,11,buy
1/15,2317,統一,5850,39,247,-208,0.59,11,sell
1/15,2317,凱基-湖口,003900320030004e,114,9,105,0.3,12,buy
1/15,2317,國票-南崁,0037003700390045,1,157,-156,0.45,12,sell
1/15,2317,華南永昌-大甲,9315,105,1,104,0.3,13,buy
1/15,2317,凱基-台北,9268,1141,1286,-145,0.41,13,sell
1/15,2317,凱基-中山,9229,146,54,92,0.26,14,buy
1/15,2317,華南永昌,9300,51,182,-131,0.37,14,sell
1/15,2317,(牛牛牛)亞-鑫豐,0036003000310064,104,13,91,0.26,15,buy
1/15,2317,元富,5920,38,158,-120,0.34,15,sell
1/15,2454,美商高盛,1480,1498,499,999,12.41,1,buy
1/15,2454,摩根大通,8440,144,560,-416,5.17,1,sell
1/15,2454,港商野村,1560,616,6,610,7.58,2,buy
1/15,2454,國票-敦北法人,0037003700390063,0,356,-356,4.42,2,sell
1/15,2454,永豐金-匯立,0039004100380031,436,50,386,4.79,3,buy
1/15,2454,兆豐證券,7000,11,331,-320,3.97,3,sell
1/15,2454,新加坡商瑞銀,1650,1234,966,268,3.33,4,buy
1/15,2454,台灣摩根士丹利,1470,323,571,-248,3.08,4,sell
1/15,2454,凱基-台北,9268,420,255,165,2.05,5,buy
1/15,2454,富邦證券,9600,34,271,-237,2.94,5,sell
1/15,2454,群益金鼎-大安,0039003100380065,168,5,163,2.02,6,buy
1/15,2454,群益金鼎,9100,81,312,-231,2.87,6,sell
1/15,2454,港商麥格理,1360,91,7,84,1.04,7,buy
1/15,2454,美林,1440,173,351,-178,2.21,7,sell
1/15,2454,花旗環球,1590,112,32,80,0.99,8,buy
1/15,2454,中國信託,6160,3,163,-160,1.99,8,sell
1/15,2454,永豐金-信義,0039004100390052,52,0,52,0.65,9,buy
1/15,2454,國泰證券,8880,25,150,-125,1.55,9,sell
1/15,2454,元大證券,9800,675,637,38,0.47,10,buy
1/15,2454,華南永昌,9300,6,98,-92,1.14,10,sell
1/15,2454,康和,8450,21,0,21,0.26,11,buy
1/15,2454,台新證券,8150,51,116,-65,0.81,11,sell
1/15,2454,兆豐-城中,0037003000300057,18,1,17,0.21,12,buy
1/15,2454,凱基,9200,12,75,-63,0.78,12,sell
1/15,2454,凱基-市府,0039003200300044,13,1,12,0.15,13,buy
1/15,2454,元富,5920,9,67,-58,0.72,13,sell
1/15,2454,永豐金證券,0039004100300030,88,77,11,0.14,14,buy
