date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/07,2330,富邦證券,9600,3349,890,2459,4.6,1,buy
1/07,2330,永豐金-匯立,0039004100380031,366,9335,-8969,16.78,1,sell
1/07,2330,國泰證券,8880,2087,53,2034,3.8,2,buy
1/07,2330,台灣摩根士丹利,1470,1095,5420,-4325,8.09,2,sell
1/07,2330,群益金鼎,9100,1808,29,1779,3.33,3,buy
1/07,2330,美商高盛,1480,1390,4408,-3018,5.65,3,sell
1/07,2330,元富,5920,1781,97,1684,3.15,4,buy
1/07,2330,摩根大通,8440,3515,5826,-2311,4.32,4,sell
1/07,2330,凱基,9200,1699,497,1202,2.25,5,buy
1/07,2330,新加坡商瑞銀,1650,336,2304,-1968,3.68,5,sell
1/07,2330,中國信託,6160,1236,175,1061,1.98,6,buy
1/07,2330,美林,1440,574,2540,-1966,3.68,6,sell
1/07,2330,台新證券,8150,1021,97,924,1.73,7,buy
1/07,2330,元大證券,9800,2073,3130,-1057,1.98,7,sell
1/07,2330,永豐金證券,0039004100300030,1049,530,519,0.97,8,buy
1/07,2330,花旗環球,1590,865,1706,-841,1.57,8,sell
1/07,2330,國泰-敦南,8888,660,198,462,0.86,9,buy
1/07,2330,香港上海匯豐,8960,379,1106,-727,1.36,9,sell
1/07,2330,兆豐證券,7000,531,147,384,0.72,10,buy
1/07,2330,港商野村,1560,89,648,-559,1.05,10,sell
1/07,2330,永豐金-內湖,0039004100390067,267,11,256,0.48,11,buy
1/07,2330,凱基-台北,9268,1277,1688,-411,0.77,11,sell
1/07,2330,國票-敦北法人,0037003700390063,250,25,225,0.42,12,buy
1/07,2330,港商麥格理,1360,646,1021,-375,0.7,12,sell
1/07,2330,新光,8560,343,147,196,0.37,13,buy
1/07,2330,統一-城中,5854,52,256,-204,0.38,13,sell
1/07,2330,第一金,5380,188,9,179,0.33,14,buy
1/07,2330,元大-新盛,9869,23,125,-102,0.19,14,sell
1/07,2330,合庫證券,1020,230,57,173,0.32,15,buy
1/07,2330,凱基-大里,0039003200300057,97,173,-76,0.14,15,sell
1/07,2317,元大-松江,9801,4282,22,4260,5.05,1,buy
1/07,2317,港商麥格理,1360,500,8789,-8289,9.83,1,sell
1/07,2317,摩根大通,8440,5373,1430,3943,4.68,2,buy
1/07,2317,合庫證券,1020,121,4188,-4067,4.82,2,sell
1/07,2317,富邦證券,9600,2730,1550,1180,1.4,3,buy
1/07,2317,美林,1440,1339,2609,-1270,1.51,3,sell
