date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/11,2330,美林,1440,4221,1579,2642,6.05,1,buy
2/11,2330,永豐金-匯立,0039004100380031,502,7683,-7181,16.45,1,sell
2/11,2330,元大證券,9800,3499,1005,2494,5.71,2,buy
2/11,2330,港商麥格理,1360,32,1902,-1870,4.28,2,sell
2/11,2330,香港上海匯豐,8960,1283,68,1215,2.78,3,buy
2/11,2330,富邦證券,9600,416,2260,-1844,4.23,3,sell
2/11,2330,花旗環球,1590,1899,822,1077,2.47,4,buy
2/11,2330,美商高盛,1480,1901,3694,-1793,4.11,4,sell
2/11,2330,摩根大通,8440,3577,2506,1071,2.45,5,buy
2/11,2330,臺銀,1040,59,1046,-987,2.26,5,sell
2/11,2330,永豐金證券,0039004100300030,1123,142,981,2.25,6,buy
2/11,2330,台灣摩根士丹利,1470,3017,3549,-532,1.22,6,sell
2/11,2330,凱基,9200,875,16,859,1.97,7,buy
2/11,2330,土銀,1030,39,227,-188,0.43,7,sell
2/11,2330,凱基-台北,9268,1954,1313,641,1.47,8,buy
2/11,2330,港商野村,1560,177,348,-171,0.39,8,sell
2/11,2330,永豐金-中正,0039004100390055,516,29,487,1.12,9,buy
2/11,2330,元大-向上,9824,5,148,-143,0.33,9,sell
2/11,2330,法銀巴黎,8900,472,15,457,1.05,10,buy
2/11,2330,元富-板橋,0039004200320062,36,172,-136,0.31,10,sell
2/11,2330,富邦-建國,9658,550,102,448,1.03,11,buy
2/11,2330,中國信託,6160,128,261,-133,0.3,11,sell
2/11,2330,宏遠證券,1260,455,67,388,0.89,12,buy
2/11,2330,華南永昌-大安,9307,22,137,-115,0.26,12,sell
2/11,2330,新加坡商瑞銀,1650,2272,1956,316,0.72,13,buy
2/11,2330,宏遠-桃園,1262,1,111,-110,0.25,13,sell
2/11,2330,國泰證券,8880,419,161,258,0.59,14,buy
2/11,2330,元大-大同,0039003800390047,20,117,-97,0.22,14,sell
2/11,2330,兆豐證券,7000,278,36,242,0.55,15,buy
2/11,2330,統一,5850,115,188,-73,0.17,15,sell
2/11,2308,美商高盛,1480,1585,575,1010,6.57,1,buy
2/11,2308,摩根大通,8440,877,1765,-888,5.77,1,sell
2/11,2308,元大證券,9800,1460,787,673,4.38,2,buy
2/11,2308,港商野村,1560,1,396,-395,2.57,2,sell
2/11,2308,美林,1440,930,365,565,3.67,3,buy
2/11,2308,凱基-台北,9268,608,877,-269,1.75,3,sell
2/11,2308,新加坡商瑞銀,1650,1450,936,514,3.34,4,buy
2/11,2308,國泰-敦南,8888,128,275,-147,0.96,4,sell
2/11,2308,國泰證券,8880,543,53,490,3.19,5,buy
2/11,2308,富邦證券,9600,433,541,-108,0.7,5,sell
2/11,2308,台灣摩根士丹利,1470,724,304,420,2.73,6,buy
2/11,2308,土銀,1030,2,65,-63,0.41,6,sell
2/11,2308,康和,8450,283,12,271,1.76,7,buy
2/11,2308,臺銀,1040,3,61,-58,0.38,7,sell
2/11,2308,永豐金證券,0039004100300030,318,55,263,1.71,8,buy
2/11,2308,國泰-新莊,8886,6,58,-52,0.34,8,sell
2/11,2308,兆豐證券,7000,239,42,197,1.28,9,buy
2/11,2308,中國信託-文心,6164,6,54,-48,0.31,9,sell
2/11,2308,凱基,9200,206,25,181,1.18,10,buy
2/11,2308,富邦-建國,9658,16,62,-46,0.3,10,sell
2/11,2308,玉山證券,8840,191,50,141,0.92,11,buy
2/11,2308,兆豐-桃鶯,0037003000300055,1,46,-45,0.29,11,sell
2/11,2308,群益金鼎-台北,0039003100380058,125,0,125,0.81,12,buy
2/11,2308,台灣企銀-埔墘,0031003100310047,0,42,-42,0.27,12,sell
2/11,2308,台新證券,8150,237,125,112,0.73,13,buy
2/11,2308,國泰-館前,0038003800380041,17,59,-42,0.27,13,sell
2/11,2308,永豐金-匯立,0039004100380031,112,12,100,0.65,14,buy
2/11,2308,大昌-樹林,6461,6,47,-41,0.27,14,sell
2/11,2308,統一,5850,156,66,90,0.59,15,buy
2/11,2308,元大-南京,9862,6,44,-38,0.25,15,sell
2/11,2382,新加坡商瑞銀,1650,2196,650,1546,9.28,1,buy
2/11,2382,元大證券,9800,986,1620,-634,3.81,1,sell
2/11,2382,摩根大通,8440,2451,1231,1220,7.33,2,buy
2/11,2382,國泰證券,8880,1,576,-575,3.45,2,sell
2/11,2382,美商高盛,1480,1983,958,1025,6.16,3,buy
2/11,2382,元大-復北,9872,8,352,-344,2.07,3,sell
2/11,2382,中國信託,6160,860,54,806,4.84,4,buy
2/11,2382,台新證券,8150,73,382,-309,1.86,4,sell
2/11,2382,美林,1440,809,101,708,4.25,5,buy
