date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/06,2330,摩根大通,8440,9085,4562,4523,9.28,1,buy
1/06,2330,美商高盛,1480,1015,6385,-5370,11.02,1,sell
1/06,2330,富邦證券,9600,3165,352,2813,5.77,2,buy
1/06,2330,永豐金-匯立,0039004100380031,167,2542,-2375,4.87,2,sell
1/06,2330,統一,5850,1806,526,1280,2.63,3,buy
1/06,2330,港商麥格理,1360,328,1957,-1629,3.34,3,sell
1/06,2330,台新證券,8150,1388,248,1140,2.34,4,buy
1/06,2330,台灣摩根士丹利,1470,1214,2355,-1141,2.34,4,sell
1/06,2330,國泰證券,8880,1188,105,1083,2.22,5,buy
1/06,2330,港商野村,1560,221,986,-765,1.57,5,sell
1/06,2330,香港上海匯豐,8960,1265,395,870,1.79,6,buy
1/06,2330,凱基-台北,9268,1416,2023,-607,1.25,6,sell
1/06,2330,元富,5920,1009,223,786,1.61,7,buy
1/06,2330,彰銀,1230,6,584,-578,1.19,7,sell
1/06,2330,中國信託,6160,767,158,609,1.25,8,buy
1/06,2330,元大證券,9800,1163,1592,-429,0.88,8,sell
1/06,2330,兆豐證券,7000,363,10,353,0.72,9,buy
1/06,2330,新加坡商瑞銀,1650,1543,1875,-332,0.68,9,sell
1/06,2330,永豐金證券,0039004100300030,752,435,317,0.65,10,buy
1/06,2330,大和國泰,8890,336,604,-268,0.55,10,sell
1/06,2330,宏遠-館前,0031003200360055,266,12,254,0.52,11,buy
1/06,2330,第一金-安和,003500330038006a,3,254,-251,0.52,11,sell
1/06,2330,群益金鼎-敦南,9101,216,11,205,0.42,12,buy
1/06,2330,富邦-台北,9623,39,191,-152,0.31,12,sell
1/06,2330,第一金-大稻埕,0035003300380046,168,7,161,0.33,13,buy
1/06,2330,元大-新盛,9869,8,158,-150,0.31,13,sell
1/06,2330,土銀,1030,155,5,150,0.31,14,buy
1/06,2330,凱基-城中,9227,256,397,-141,0.29,14,sell
1/06,2330,凱基,9200,135,10,125,0.26,15,buy
1/06,2330,合庫證券,1020,28,151,-123,0.25,15,sell
1/06,2317,台新證券,8150,2986,454,2532,3.87,1,buy
1/06,2317,富邦證券,9600,682,7294,-6612,10.09,1,sell
1/06,2317,美林,1440,4225,1738,2487,3.8,2,buy
1/06,2317,美商高盛,1480,3763,8653,-4890,7.46,2,sell
1/06,2317,凱基-台北,9268,2412,1086,1326,2.02,3,buy
1/06,2317,新加坡商瑞銀,1650,2498,5181,-2683,4.1,3,sell
1/06,2317,台灣摩根士丹利,1470,1665,758,907,1.38,4,buy
1/06,2317,永豐金-匯立,0039004100380031,591,3070,-2479,3.78,4,sell
1/06,2317,元大證券,9800,3448,2649,799,1.22,5,buy
1/06,2317,合庫證券,1020,64,2266,-2202,3.36,5,sell
1/06,2317,群益金鼎-古亭,0039003100380043,768,28,740,1.13,6,buy
1/06,2317,華南永昌,9300,167,1329,-1162,1.77,6,sell
1/06,2317,兆豐-南門,0037003000300067,726,16,710,1.08,7,buy
1/06,2317,國票-南京,003700370039006e,3,1005,-1002,1.53,7,sell
1/06,2317,港商麥格理,1360,780,105,675,1.03,8,buy
1/06,2317,花旗環球,1590,1770,2666,-896,1.37,8,sell
1/06,2317,香港上海匯豐,8960,772,116,656,1.0,9,buy
1/06,2317,港商野村,1560,360,978,-618,0.94,9,sell
1/06,2317,永豐金證券,0039004100300030,595,274,321,0.49,10,buy
1/06,2317,第一金-忠孝,0035003300380044,53,378,-325,0.5,10,sell
1/06,2317,元大-彰化民生,003900380039004a,347,47,300,0.46,11,buy
1/06,2317,摩根大通,8440,1324,1605,-281,0.43,11,sell
1/06,2317,元大-基隆,0039003800390059,291,18,273,0.42,12,buy
1/06,2317,宏遠-桃園,1262,8,232,-224,0.34,12,sell
1/06,2317,康和-仁愛,0038003400350046,255,29,226,0.35,13,buy
1/06,2317,凱基-高美館,9215,96,317,-221,0.34,13,sell
1/06,2317,元大-館前,003900380034004b,293,71,222,0.34,14,buy
1/06,2317,臺銀-臺南,1042,49,195,-146,0.22,14,sell
1/06,2317,群益金鼎-中港,9138,223,7,216,0.33,15,buy
1/06,2317,群益金鼎-台中,9184,25,142,-117,0.18,15,sell
1/06,2454,永豐金-匯立,0039004100380031,376,11,365,4.31,1,buy
1/06,2454,新加坡商瑞銀,1650,242,999,-757,8.95,1,sell
1/06,2454,花旗環球,1590,424,106,318,3.76,2,buy
1/06,2454,港商麥格理,1360,124,767,-643,7.6,2,sell
1/06,2454,凱基,9200,269,1,268,3.17,3,buy
1/06,2454,台灣摩根士丹利,1470,228,774,-546,6.45,3,sell
1/06,2454,永豐金證券,0039004100300030,452,253,199,2.35,4,buy
1/06,2454,摩根大通,8440,195,528,-333,3.94,4,sell
1/06,2454,元大-台北,0039003800300068,153,10,143,1.69,5,buy
1/06,2454,美商高盛,1480,346,634,-288,3.4,5,sell
1/06,2454,國泰-敦南,8888,139,52,87,1.03,6,buy
1/06,2454,國泰證券,8880,60,272,-212,2.51,6,sell
1/06,2454,第一金-新竹,0035003300380042,85,2,83,0.98,7,buy
1/06,2454,永豐金-萬盛,0039004100390032,5,151,-146,1.73,7,sell
1/06,2454,中國信託,6160,124,54,70,0.83,8,buy
1/06,2454,康和,8450,3,140,-137,1.62,8,sell
1/06,2454,富邦-仁愛,9676,70,22,48,0.57,9,buy
1/06,2454,統一,5850,14,141,-127,1.5,9,sell
1/06,2454,新光,8560,83,37,46,0.54,10,buy
1/06,2454,元大證券,9800,217,337,-120,1.42,10,sell
1/06,2454,元大-大同,0039003800390047,43,2,41,0.48,11,buy
1/06,2454,美林,1440,146,257,-111,1.31,11,sell
1/06,2454,永豐金-內湖,0039004100390067,41,0,41,0.48,12,buy
1/06,2454,彰銀,1230,6,77,-71,0.84,12,sell
1/06,2454,國票-敦北法人,0037003700390063,53,13,40,0.47,13,buy
1/06,2454,兆豐證券,7000,6,70,-64,0.76,13,sell
1/06,2454,富邦-台北,9623,42,11,31,0.37,14,buy
1/06,2454,群益金鼎,9100,11,73,-62,0.73,14,sell
1/06,2454,元大-西屯,0039003800300077,32,2,30,0.35,15,buy
1/06,2454,凱基-台北,9268,383,437,-54,0.64,15,sell
1/06,2308,美商高盛,1480,2703,1007,1696,9.64,1,buy
1/06,2308,國泰-敦南,8888,92,425,-333,1.89,1,sell
1/06,2308,新加坡商瑞銀,1650,2699,1042,1657,9.42,2,buy
1/06,2308,台灣摩根士丹利,1470,120,435,-315,1.79,2,sell
1/06,2308,大和國泰,8890,729,0,729,4.14,3,buy
1/06,2308,富邦-仁愛,9676,9,264,-255,1.45,3,sell
1/06,2308,富邦證券,9600,645,72,573,3.26,4,buy
1/06,2308,凱基-台北,9268,372,545,-173,0.98,4,sell
1/06,2308,美林,1440,676,145,531,3.02,5,buy
1/06,2308,新光,8560,53,167,-114,0.65,5,sell
1/06,2308,群益金鼎,9100,593,88,505,2.87,6,buy
1/06,2308,土銀,1030,1,105,-104,0.59,6,sell
1/06,2308,摩根大通,8440,749,257,492,2.8,7,buy
1/06,2308,國泰-館前,0038003800380041,19,123,-104,0.59,7,sell
1/06,2308,花旗環球,1590,608,207,401,2.28,8,buy
1/06,2308,永豐金-松山,0039004100390031,9,110,-101,0.57,8,sell
1/06,2308,台新證券,8150,508,139,369,2.1,9,buy
1/06,2308,永豐金-竹科,0039004100390058,5,76,-71,0.4,9,sell
1/06,2308,港商麥格理,1360,386,114,272,1.55,10,buy
1/06,2308,元大-台中,9812,9,79,-70,0.4,10,sell
1/06,2308,兆豐證券,7000,271,15,256,1.46,11,buy
1/06,2308,國泰-板橋,003800380038004b,21,89,-68,0.39,11,sell
1/06,2308,元富,5920,272,20,252,1.43,12,buy
1/06,2308,國泰-新莊,8886,3,70,-67,0.38,12,sell
1/06,2308,國泰證券,8880,304,67,237,1.35,13,buy
1/06,2308,元大-松山,0039003800310070,1,66,-65,0.37,13,sell
1/06,2308,港商野村,1560,150,0,150,0.85,14,buy
1/06,2308,國票-博愛,003700370039007a,2,67,-65,0.37,14,sell
1/06,2308,福邦證券,6480,151,4,147,0.84,15,buy
1/06,2308,凱基,9200,107,172,-65,0.37,15,sell
1/06,2382,新加坡商瑞銀,1650,4123,1792,2331,9.68,1,buy
1/06,2382,群益金鼎-古亭,0039003100380043,13,1276,-1263,5.25,1,sell
1/06,2382,永豐金-匯立,0039004100380031,1805,86,1719,7.14,2,buy
1/06,2382,兆豐-南門,0037003000300067,2,1106,-1104,4.59,2,sell
1/06,2382,群益金鼎-大安,0039003100380065,1494,14,1480,6.15,3,buy
1/06,2382,美林,1440,338,1098,-760,3.16,3,sell
1/06,2382,港商麥格理,1360,1330,31,1299,5.4,4,buy
1/06,2382,中國信託,6160,91,570,-479,1.99,4,sell
1/06,2382,統一,5850,1000,32,968,4.02,5,buy
1/06,2382,摩根大通,8440,665,1097,-432,1.79,5,sell
1/06,2382,國泰證券,8880,960,15,945,3.93,6,buy
1/06,2382,港商野村,1560,2,347,-345,1.43,6,sell
1/06,2382,兆豐證券,7000,376,20,356,1.48,7,buy
1/06,2382,凱基-高美館,9215,9,276,-267,1.11,7,sell
1/06,2382,花旗環球,1590,429,129,300,1.25,8,buy
1/06,2382,台灣摩根士丹利,1470,591,833,-242,1.01,8,sell
1/06,2382,元大證券,9800,846,605,241,1.0,9,buy
1/06,2382,國泰-敦南,8888,190,323,-133,0.55,9,sell
1/06,2382,臺銀,1040,261,20,241,1.0,10,buy
1/06,2382,凱基,9200,4,136,-132,0.55,10,sell
1/06,2382,元大-館前,003900380034004b,259,65,194,0.81,11,buy
1/06,2382,國泰-忠孝,8887,10,131,-121,0.5,11,sell
1/06,2382,台新證券,8150,272,107,165,0.69,12,buy
1/06,2382,永豐金證券,0039004100300030,196,290,-94,0.39,12,sell
1/06,2382,永豐金-萬盛,0039004100390032,134,18,116,0.48,13,buy
1/06,2382,富邦-樹林,0039003600320045,9,103,-94,0.39,13,sell
1/06,2382,凱基-台北,9268,1014,957,57,0.24,14,buy
1/06,2382,群益金鼎-海山,9108,13,106,-93,0.39,14,sell
1/06,2382,國票-安和,003700370039005a,78,20,58,0.24,15,buy
1/06,2382,凱基-士林,9238,8,96,-88,0.37,15,sell
1/06,2891,台新證券,8150,1566,136,1430,5.52,1,buy
1/06,2891,統一,5850,4,3456,-3452,13.31,1,sell
1/06,2891,臺銀,1040,1218,3,1215,4.69,2,buy
1/06,2891,美商高盛,1480,1424,2656,-1232,4.75,2,sell
1/06,2891,港商麥格理,1360,1461,436,1025,3.95,3,buy
1/06,2891,永豐金證券,0039004100300030,361,1592,-1231,4.75,3,sell
1/06,2891,花旗環球,1590,1199,639,560,2.16,4,buy
1/06,2891,新加坡商瑞銀,1650,2323,3334,-1011,3.9,4,sell
1/06,2891,美林,1440,2259,1818,441,1.7,5,buy
1/06,2891,摩根大通,8440,1472,2015,-543,2.09,5,sell
1/06,2891,華南永昌,9300,301,13,288,1.11,6,buy
1/06,2891,凱基,9200,594,1101,-507,1.96,6,sell
1/06,2891,元大證券,9800,926,725,201,0.78,7,buy
1/06,2891,元富,5920,2,505,-503,1.94,7,sell
