date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
3/05,2330,永豐金證券,0039004100300030,2582,835,1747,3.31,1,buy
3/05,2330,美商高盛,1480,3429,8405,-4976,9.44,1,sell
3/05,2330,元大證券,9800,2496,1447,1049,1.99,2,buy
3/05,2330,港商麥格理,1360,3131,7501,-4370,8.29,2,sell
3/05,2330,中國信託,6160,1260,316,944,1.79,3,buy
3/05,2330,摩根大通,8440,2415,5614,-3199,6.07,3,sell
3/05,2330,凱基-台北,9268,1586,829,757,1.44,4,buy
3/05,2330,富邦證券,9600,834,3879,-3045,5.77,4,sell
3/05,2330,港商野村,1560,725,45,680,1.29,5,buy
3/05,2330,美林,1440,1395,2620,-1225,2.32,5,sell
3/05,2330,凱基,9200,1129,562,567,1.08,6,buy
3/05,2330,群益金鼎,9100,125,760,-635,1.2,6,sell
3/05,2330,花旗環球,1590,1941,1440,501,0.95,7,buy
3/05,2330,統一,5850,350,704,-354,0.67,7,sell
3/05,2330,元富,0039004200300030,564,121,443,0.84,8,buy
3/05,2330,香港上海匯豐,8960,237,364,-127,0.24,8,sell
3/05,2330,國泰證券,8880,493,73,420,0.8,9,buy
3/05,2330,台新證券,8150,268,326,-58,0.11,9,sell
3/05,2330,台灣摩根士丹利,1470,1818,1444,374,0.71,10,buy
3/05,2330,富邦-南京,0039003600310043,47,99,-52,0.1,10,sell
3/05,2330,國泰-敦南,8888,696,386,310,0.59,11,buy
3/05,2330,凱基-三多,9275,6,52,-46,0.09,11,sell
3/05,2330,永豐金-匯立,0039004100380031,1260,961,299,0.57,12,buy
3/05,2330,大和國泰,8890,68,112,-44,0.08,12,sell
3/05,2330,宏遠證券,1260,372,97,275,0.52,13,buy
3/05,2330,元大-內湖,003900380039004e,35,79,-44,0.08,13,sell
3/05,2330,元富-城東,0039004200320072,278,22,256,0.49,14,buy
3/05,2330,統一-敦南,5852,20,58,-38,0.07,14,sell
3/05,2330,新加坡商瑞銀,1650,1523,1303,220,0.42,15,buy
3/05,2330,兆豐證券,7000,66,102,-36,0.07,15,sell
3/05,2317,美商高盛,1480,8998,4148,4850,8.71,1,buy
3/05,2317,港商麥格理,1360,108,1961,-1853,3.33,1,sell
3/05,2317,美林,1440,1844,421,1423,2.56,2,buy
3/05,2317,摩根大通,8440,1166,2842,-1676,3.01,2,sell
3/05,2317,永豐金-匯立,0039004100380031,2104,1042,1062,1.91,3,buy
3/05,2317,凱基-台北,9268,2041,2850,-809,1.45,3,sell
3/05,2317,台新證券,8150,1743,802,941,1.69,4,buy
3/05,2317,統一,5850,355,804,-449,0.81,4,sell
3/05,2317,國票-南京,003700370039006e,529,21,508,0.91,5,buy
3/05,2317,凱基-士林,9238,42,330,-288,0.52,5,sell
3/05,2317,聯邦-大業,8586,474,9,465,0.84,6,buy
3/05,2317,台灣摩根士丹利,1470,1984,2209,-225,0.4,6,sell
3/05,2317,元大證券,9800,3268,2808,460,0.83,7,buy
3/05,2317,新光,8560,286,459,-173,0.31,7,sell
3/05,2317,台新-台中,0038003100350042,599,172,427,0.77,8,buy
3/05,2317,凱基-城中,9227,11,152,-141,0.25,8,sell
3/05,2317,法銀巴黎,8900,351,28,323,0.58,9,buy
3/05,2317,富邦-公益,0039003600310046,27,158,-131,0.24,9,sell
3/05,2317,國票-安和,003700370039005a,331,43,288,0.52,10,buy
3/05,2317,新光-台中,8561,86,207,-121,0.22,10,sell
3/05,2317,新加坡商瑞銀,1650,2131,1857,274,0.49,11,buy
3/05,2317,港商野村,1560,148,269,-121,0.22,11,sell
3/05,2317,群益金鼎,9100,303,41,262,0.47,12,buy
3/05,2317,第一金-彰化,5386,22,141,-119,0.21,12,sell
3/05,2317,花旗環球,1590,1769,1510,259,0.47,13,buy
3/05,2317,永豐金-高雄,0039004100390065,9,128,-119,0.21,13,sell
3/05,2317,元大-頭份,0039003800330055,151,13,138,0.25,14,buy
3/05,2317,國泰-敦南,8888,702,816,-114,0.2,14,sell
3/05,2317,元大-路竹,0039003800310043,136,19,117,0.21,15,buy
3/05,2317,台新-高雄,0038003100350041,87,193,-106,0.19,15,sell
3/05,2454,凱基-中山,9229,441,2,439,5.3,1,buy
3/05,2454,美商高盛,1480,262,1193,-931,11.24,1,sell
3/05,2454,新加坡商瑞銀,1650,521,108,413,4.99,2,buy
3/05,2454,永豐金證券,0039004100300030,192,468,-276,3.33,2,sell
3/05,2454,凱基,9200,219,20,199,2.4,3,buy
3/05,2454,美林,1440,50,288,-238,2.87,3,sell
3/05,2454,中國信託,6160,189,16,173,2.09,4,buy
3/05,2454,港商麥格理,1360,40,216,-176,2.13,4,sell
3/05,2454,臺銀,1040,161,4,157,1.9,5,buy
3/05,2454,凱基-台北,9268,253,426,-173,2.09,5,sell
3/05,2454,台新證券,8150,225,131,94,1.13,6,buy
3/05,2454,統一,5850,173,346,-173,2.09,6,sell
3/05,2454,台灣摩根士丹利,1470,431,347,84,1.01,7,buy
3/05,2454,元大-台北,0039003800300068,9,106,-97,1.17,7,sell
3/05,2454,國泰證券,8880,95,23,72,0.87,8,buy
3/05,2454,(牛牛牛)亞證券,6010,13,100,-87,1.05,8,sell
3/05,2454,宏遠證券,1260,62,0,62,0.75,9,buy
3/05,2454,康和,8450,0,66,-66,0.8,9,sell
3/05,2454,國票-敦北法人,0037003700390063,59,3,56,0.68,10,buy
3/05,2454,港商野村,1560,113,173,-60,0.72,10,sell
3/05,2454,法銀巴黎,8900,53,4,49,0.59,11,buy
3/05,2454,大和國泰,8890,0,46,-46,0.56,11,sell
3/05,2454,玉山證券,8840,70,26,44,0.53,12,buy
3/05,2454,兆豐-台中,7003,1,40,-39,0.47,12,sell
3/05,2454,元大證券,9800,432,392,40,0.48,13,buy
3/05,2454,兆豐證券,7000,8,29,-21,0.25,13,sell
3/05,2454,群益金鼎,9100,73,35,38,0.46,14,buy
3/05,2454,華南永昌-高雄,9303,2,19,-17,0.21,14,sell
3/05,2454,富邦證券,9600,260,235,25,0.3,15,buy
3/05,2454,元大-南京,9862,18,30,-12,0.14,15,sell
3/05,2308,中國信託,6160,993,25,968,7.07,1,buy
3/05,2308,富邦證券,9600,131,1392,-1261,9.21,1,sell
3/05,2308,凱基,9200,811,111,700,5.11,2,buy
3/05,2308,摩根大通,8440,465,1120,-655,4.79,2,sell
3/05,2308,香港上海匯豐,8960,697,26,671,4.9,3,buy
3/05,2308,台新證券,8150,77,500,-423,3.09,3,sell
3/05,2308,宏遠證券,1260,209,23,186,1.36,4,buy
3/05,2308,凱基-台北,9268,448,676,-228,1.67,4,sell
3/05,2308,永豐金-匯立,0039004100380031,277,101,176,1.29,5,buy
3/05,2308,新加坡商瑞銀,1650,1157,1335,-178,1.3,5,sell
3/05,2308,花旗環球,1590,425,269,156,1.14,6,buy
3/05,2308,永豐金證券,0039004100300030,55,200,-145,1.06,6,sell
3/05,2308,港商野村,1560,225,90,135,0.99,7,buy
3/05,2308,美林,1440,102,199,-97,0.71,7,sell
3/05,2308,國泰證券,8880,122,11,111,0.81,8,buy
3/05,2308,國票-安和,003700370039005a,31,113,-82,0.6,8,sell
3/05,2308,美商高盛,1480,1454,1362,92,0.67,9,buy
3/05,2308,康和,8450,1,77,-76,0.56,9,sell
3/05,2308,統一,5850,378,289,89,0.65,10,buy
3/05,2308,港商麥格理,1360,98,165,-67,0.49,10,sell
3/05,2308,國票-敦北法人,0037003700390063,81,11,70,0.51,11,buy
3/05,2308,群益金鼎,9100,92,149,-57,0.42,11,sell
3/05,2308,華南永昌-大甲,9315,51,1,50,0.37,12,buy
3/05,2308,群益金鼎-台北,0039003100380058,0,50,-50,0.37,12,sell
3/05,2308,富邦-永和,9654,57,8,49,0.36,13,buy
3/05,2308,群益金鼎-丹鳳,0039003100380073,1,43,-42,0.31,13,sell
3/05,2308,永豐金-板新,003900410039004a,57,9,48,0.35,14,buy
3/05,2308,凱基-站前,0039003200300046,13,44,-31,0.23,14,sell
3/05,2308,彰銀,1230,43,0,43,0.31,15,buy
3/05,2308,華南永昌-中正,9359,2,30,-28,0.2,15,sell
3/05,2382,新加坡商瑞銀,1650,4228,1422,2806,14.16,1,buy
3/05,2382,摩根大通,8440,385,1838,-1453,7.33,1,sell
3/05,2382,港商麥格理,1360,2526,612,1914,9.66,2,buy
3/05,2382,台灣摩根士丹利,1470,138,1091,-953,4.81,2,sell
3/05,2382,永豐金-匯立,0039004100380031,935,10,925,4.67,3,buy
3/05,2382,中國信託,6160,9,686,-677,3.42,3,sell
3/05,2382,美林,1440,691,131,560,2.83,4,buy
3/05,2382,大和國泰,8890,0,450,-450,2.27,4,sell
3/05,2382,凱基,9200,501,16,485,2.45,5,buy
3/05,2382,元大證券,9800,1041,1393,-352,1.78,5,sell
3/05,2382,富邦證券,9600,306,75,231,1.17,6,buy
3/05,2382,香港上海匯豐,8960,0,262,-262,1.32,6,sell
3/05,2382,(牛牛牛)亞證券,6010,166,0,166,0.84,7,buy
3/05,2382,群益金鼎-丹鳳,0039003100380073,4,238,-234,1.18,7,sell
3/05,2382,凱基-台北,9268,1149,986,163,0.82,8,buy
3/05,2382,法銀巴黎,8900,48,167,-119,0.6,8,sell
3/05,2382,富邦-新板,0039003600310048,140,18,122,0.62,9,buy
3/05,2382,美好,5260,1,106,-105,0.53,9,sell
3/05,2382,永豐金證券,0039004100300030,406,298,108,0.55,10,buy
3/05,2382,新光,8560,54,138,-84,0.42,10,sell
3/05,2382,凱基-大直,9218,103,5,98,0.49,11,buy
3/05,2382,國泰-敦南,8888,148,227,-79,0.4,11,sell
3/05,2382,富邦-仁愛,9676,120,29,91,0.46,12,buy
3/05,2382,台新證券,8150,29,104,-75,0.38,12,sell
3/05,2382,彰銀-台中,1233,147,72,75,0.38,13,buy
3/05,2382,元大-向上,9824,4,73,-69,0.35,13,sell
3/05,2382,統一-松江,003500380035005a,59,3,56,0.28,14,buy
3/05,2382,元富,0039004200300030,3,53,-50,0.25,14,sell
3/05,2382,統一-士林,003500380035004d,48,6,42,0.21,15,buy
3/05,2382,統一-新竹,5857,2,52,-50,0.25,15,sell
3/05,2891,大和國泰,8890,4623,0,4623,13.65,1,buy
3/05,2891,摩根大通,8440,837,4261,-3424,10.11,1,sell
3/05,2891,玉山證券,8840,2005,7,1998,5.9,2,buy
3/05,2891,元大證券,9800,1386,4138,-2752,8.13,2,sell
3/05,2891,中國信託-永康,6163,1230,14,1216,3.59,3,buy
3/05,2891,凱基-台北,9268,745,2639,-1894,5.59,3,sell
3/05,2891,群益金鼎,9100,1699,666,1033,3.05,4,buy
