date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
3/09,2330,國泰-敦南,8888,1999,473,1526,1.63,1,buy
3/09,2330,港商麥格理,1360,145,6580,-6435,6.89,1,sell
3/09,2330,凱基,9200,2100,622,1478,1.58,2,buy
3/09,2330,摩根大通,8440,3308,9277,-5969,6.39,2,sell
3/09,2330,中國信託,6160,1542,409,1133,1.21,3,buy
3/09,2330,美商高盛,1480,1204,6654,-5450,5.83,3,sell
3/09,2330,凱基-台北,9268,2474,1789,685,0.73,4,buy
3/09,2330,元大證券,9800,7994,13348,-5354,5.73,4,sell
3/09,2330,兆豐-南京,0037003000300050,579,7,572,0.61,5,buy
3/09,2330,台灣摩根士丹利,1470,1207,6040,-4833,5.17,5,sell
3/09,2330,新光,8560,821,309,512,0.55,6,buy
3/09,2330,法銀巴黎,8900,431,4536,-4105,4.39,6,sell
3/09,2330,國泰證券,8880,906,454,452,0.48,7,buy
3/09,2330,富邦證券,9600,1070,4583,-3513,3.76,7,sell
3/09,2330,國泰-台中,8882,523,108,415,0.44,8,buy
3/09,2330,永豐金證券,0039004100300030,1658,4580,-2922,3.13,8,sell
3/09,2330,富邦-新竹,9647,484,86,398,0.43,9,buy
3/09,2330,美林,1440,553,2320,-1767,1.89,9,sell
3/09,2330,台新證券,8150,719,323,396,0.42,10,buy
3/09,2330,花旗環球,1590,1200,2348,-1148,1.23,10,sell
3/09,2330,合庫證券,1020,387,38,349,0.37,11,buy
3/09,2330,香港上海匯豐,8960,59,631,-572,0.61,11,sell
3/09,2330,群益金鼎,9100,751,409,342,0.37,12,buy
3/09,2330,永豐金-匯立,0039004100380031,237,778,-541,0.58,12,sell
3/09,2330,國泰-板橋,003800380038004b,487,151,336,0.36,13,buy
3/09,2330,大和國泰,8890,24,539,-515,0.55,13,sell
3/09,2330,國泰-館前,0038003800380041,496,167,329,0.35,14,buy
3/09,2330,統一,5850,981,1384,-403,0.43,14,sell
3/09,2330,兆豐證券,7000,344,31,313,0.33,15,buy
